8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
8,26532   |   00000000000000000000000000001010
2 228,15   |   00000000000000000000000000000010
-999   |   00000000000000000000000000000000
916,28   |   00000000000000000000000000001001
8,26532   |   00000000000000000000000000000100
